codigo,descricao,uq,rg,sadc,ua,requisitos,observacao
0207.54.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
0207.55,"-- Outras, congeladas:",,,,,,
,--- Pedaços: ,,,,,,
0207.55.10,---- Desossados…………………………..,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.55.20,----- Metades ou quartos………………………………………………….,Kg,10,,,,
0207.55.30,"----- Asas inteiras, mesmo sem a ponta…………………………………………………………",Kg,10,,,,
0207.55.40,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas………………………………………………………",Kg,50,,,,
0207.55.50,----- Peitos e pedaços de peitos…………………………………………,Kg,10,,,,
0207.55.60,----- Coxas e pedaços de coxas………………………………………………………………..,Kg,10,,,,
0207.55.70,----- Outros……………………………………………………………………………..,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.55.80,---- Corações………………………………………………………………………….,Kg,10,,,,
0207.55.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
0207.60,- De pintadas (galinhas-d´angola)………..…………….…………………,,,,,,
0207.60.10,"-- Não cortadas em pedaços, frescas ou refrigeradas………………..……",Kg,10,,,,
0207.60.11,"-- Não cortadas em pedaços, congeladas…………………………………",Kg,10,,,,
0207.60.12,"-- Fígados gordos (foies gras), frescos ou refrigerados……………..……",Kg,10,,,,
0207.60.13,"-- Outras, frescas ou refrigeradas…………………………………………",Kg,10,,,,
,--- Pedaços: ,,,,,,
0207.60.14,---- Desossados………………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.60.15,----- Metades ou quartos……………………………………………………………………,Kg,10,,,,
0207.60.16,"----- Asas inteiras, mesmo sem a ponta…………………………………………………………….",Kg,10,,,,
0207.60.17,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,50,,,,
0207.60.18,----- Peitos e pedaços de peitos………………………………………………………………………………………..,Kg,10,,,,
0207.60.19,----- Coxas e pedaços de coxas…………………………………………………………………..,Kg,10,,,,
0207.60.20,----- Outros……………………………………………………………………………..,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.60.21,---- Corações………………………………………………………………………….,Kg,10,,,,
0207.60.23,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
0207.60.24,"-- Outras, congeladas……………………………………………..………",Kg,10,,,,
,--- Pedaços: ,,,,,,
0207.60.25,---- Desossados…………………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.60.26,----- Metades ou quartos…………………………………………………………..,Kg,10,,,,
0207.60.27,"----- Asas inteiras, mesmo sem a ponta……………………………………………………………..",Kg,10,,,,
0207.60.28,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,50,,,,
0207.60.29,----- Peitos e pedaços de peitos…………………………………………………………………..,Kg,10,,,,
0207.60.30,----- Coxas e pedaços de coxas…………………………………………………………………………………,Kg,10,,,,
0207.60.31,----- Outros……………………………………………………………………………..,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.60.91,---- Corações………………………………………………………………………….,Kg,10,,,,
0207.60.99,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
02.08,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.",,,,,,
0208.10.00,- De coelhos ou de lebres……………………………………………….…,Kg,30,,,,
0208.30.00,- De primatas………………………………………………………………,Kg,10,,,,
0208.40.00,"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de manatins (peixes-boi) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem
Pinnipedia)………………………………………………………..….……",Kg,55,,,,
0208.50.00,- De répteis (incluindo as serpentes e as tartarugas marinhas)…………..,Kg,55,,,,
0208.60.00,- De camelos e outros camelídeos (Camelidae)………………….………,Kg,30,,,,
0208.90.00,- Outras………………………………….………….……………………,Kg,10,,,,
02.09,"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas, nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou fumados (defumados)",,,,,,
0209.10.00,- De porco…………………………………………………………………,Kg,5,,,,
0209.90.00,- Outros………………………………….……………………..…………,Kg,5,,,,
02.10,"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou fumadas (defumados); farinhas e pós, comestíveis, de carnes ou de miudezas.",,,,,,
,- Carnes da espécie suína:,,,,,,
0210.11,"-- Pernas, pás e respectivos pedaços, não desossados:",,,,,,
,--- Salgados ou em salmoura: ,,,,,,
0210.11.11,----Pernas e pedaços de pernas……………………………..,Kg,30,,,,
0210.11.19,----Pás e pedaços de pás……………………………,Kg,30,,,,
,--- Secos ou fumados:,,,,,,
0210.11.31,---- Pernas e pedaços de pernas……………………………….,Kg,30,,,,
0210.11.39,---- Pás e pedaços de pás…………………………………….,Kg,30,,,,
0210.11.90,---- Outros………………………………………………….,kg,30,,,,
0210.12,-- Barrigas (Entremeadas) (Toucinhos entremeados*) e seus pedaços:,,,,,,
0210.12.11,--- Salgados ou em salmoura……………………….,Kg,30,,,,
0210.12.19,--- Secos ou fumados………………………………,Kg,30,,,,
0210.12.90,--- Outros………………………………………………….,kg,30,,,,
0210.19,-- Outras………………………………………………………..…………,,,,,,
,--- Salgadas ou em salmoura:,,,,,,
0210.19.10,---- Meias-carcaças bacon ou três-quartos dianteiros …………………,Kg,30,,,,
0210.19.20,---- Três-quartos traseiros ou meios (vãos) ………………………,Kg,30,,,,
0210.19.30,---- Partes dianteiras e pedaços de partes dianteiras………………………..,Kg,30,,,,
0210.19.40,---- Lombos e pedaços de lombos ……………………………….,Kg,30,,,,
0210.19.50,---- Outras ……………………………………..,Kg,30,,,,
,--- Secas ou fumadas:,,,,,,
0210.19.60,---- Partes dianteiras e pedaços de partes dianteiras ………………………..,Kg,30,,,,
0210.19.70,---- Lombos e pedaços de lombos …………………….,Kg,30,,,,
,---- Outras:,,,,,,
0210.19.81,---- Desossadas ………………………..,Kg,30,,,,
0210.19.89,---- Outras …………………………………..,Kg,30,,,,
0210.19.90,--- Outras ………………………………….,Kg,30,,,,
0210.20,- Carnes da espécie bovina……………………………..…………………,,,,,,
0210.20.10,-- Não desossadas,Kg,30,,,,
0210.20.90,-- Desossadas,Kg,30,,,,
,"- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:",,,,,,
0210.91.00,-- De primatas…………………………………………………….………,Kg,30,,,,
0210.92.00,"-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de manatins (peixes-boi) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)………………",Kg,55,,,,
0210.93.00,-- De répteis (incluindo as serpentes e as tartarugas marinhas)………..…,Kg,55,,,,
0210.99.00,-- Outras………………………………………………………………….,Kg,55,,,,
03.01,Peixes vivos.,,,,,,
,- Peixes ornamentais:,,,,,,
0301.11.00,-- De água doce…………………………………………………….,Kg,10,,,,
0301.19.00,-- Outros……………………………………………………………,Kg,10,,,,
,- Outros peixes vivos:,,,,,,
0301.91.00,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae,  Oncorhynchus apache e Oncorhynchus chrysogaster)………………",Kg,2,,,,
0301.92.00,-- Enguias (Anguilla spp.)…………………………………………………………………...…….,Kg,2,,,,
0301.93.00,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)……………………………………………………………..",Kg,2,,,,
0301.94.00,"-- Atuns (Atuns-azuis*) (Thunnus thynnus, thunnus orientalis)……….",Kg,2,,,,
0301.95.00,-- Atum (Atum-azul do sul*) (Thunnus maccoyii)…………………..,Kg,2,,,,
0301.99.00,-- Outros……………………………………………………….…….,Kg,2,,,,
03.02,"Peixes frescos ou refrigerados, excepto os filetes (filés) de peixes e outra carne de peixes da posição 03.04.",,,,,,
,"- Salmonídeos, excepto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:",,,,,,
0302.11.00,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)…………...………",Kg,20,,,,
0302.13.00,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta,  Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)….",Kg,20,,,,
0302.14.00,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)……..….……………………,Kg,20,,,,
0302.19.00,-- Outros………………………………………………….…………,Kg,20,,,,
,"- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), excepto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:",,,,,,
0302.21.00,"-- Alabotes (Linguados-gigantes*) (Reinhardtius Hippoglossoides, Hippoglossus hippoglossus, Hipoglossus stenolepis)……………………………………………………..……",Kg,20,,,,
0302.22.00,-- Solha (Pleuronectes platessa)…………………………………….,Kg,20,,,,
0302.23.00,-- Linguados (Solea spp.)…………………………………..……….,Kg,20,,,,
0302.24.00,-- Pregado (Psetta máxima)………………………………………..,Kg,20,,,,
0302.29.00,-- Outros…………………………………………………….………,Kg,20,,,,
